Index,True_Label,Predicted_Label,Probability,Text
57,1.0,0.0,0.0010012095,"For sale - arsenal dartboard. Good condition but no doubles or trebles!
"
183,1.0,0.0,0.049028594,"This message is brought to you by GMW Ltd. and is not connected to the
"
245,1.0,0.0,0.21989617,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?
"
440,1.0,0.0,0.00047481377,"TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
"
462,1.0,0.0,0.004462866,"ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
"
561,1.0,0.0,0.008671459,"Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
"
619,1.0,0.0,0.016742473,"Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
"
694,1.0,0.0,0.15909807,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
"
832,1.0,0.0,0.45356715,"Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
"
953,1.0,0.0,0.0013112419,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
"
1021,1.0,0.0,0.0006331474,"Money i have won wining number 946 wot do i do next
"
