Index,True_Label,Predicted_Label,Probability,Text
0,1.0,0.0,0.02490106,#ILLEGALimmigrants Don't be #Europe:
1,1.0,0.0,0.15083414,"I crack up when whores say ""I have 15k followers I can't respond 2 every1"". Bitch @user closing in on 100…"
6,1.0,0.0,0.073158726,Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?
9,1.0,0.0,0.00027705004,All they need is TLC thats BS #SENDTHEMHOME
13,1.0,0.0,0.1704715,Bitch feed me grapes and stfu
16,1.0,0.0,0.16072735,lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
17,1.0,0.0,0.08572118,@user Ask this old whore to suicide or I can help this bitch die screaming. #BBUK You guyz r shit to bring her back.
18,1.0,0.0,4.304897e-05,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
19,1.0,0.0,0.14831495,I've never watched a single episode of Game of thrones   Good for you bitch you must be a broke hoe can't afford hbo
22,0.0,1.0,0.8492492,@user #MAGA #KAG 2020 USA!! USA!! USA!! USA!! #BUILDKATESWALL #NODACA #AmericaFirst Please remember the only reason the left the libtards the Democrats are so triggered and resistant is because their criminal murderous candidate didn't win that's it that's the only reason!!!
25,0.0,1.0,0.5990889,@user They're like omg how do you not remember her shoes. Like bitch NO YOU THE WEIRD ONE I'm looking at be…
28,1.0,0.0,2.0471638e-05,#Muslim #Islam Terrorist Did This #NeverForget #NeverForget911 #RefugeesNotWelcome
31,1.0,0.0,0.06237392,"@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type. #StopIslam #BanSharia"
37,0.0,1.0,0.9513206,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
39,0.0,1.0,0.9221632,#WalkAway #TuesdayThoughts #BuildThatWall SUPPORT @user
46,1.0,0.0,0.25546035,"Suddenly this hoe is cb shipper, bitch get out, more than once you insulted the cb shippers slkfksdn"
49,0.0,1.0,0.7567672,"You dont have to be an idiot to figure it out that Democrats are destroying America.Obama, Hillary and the democratic leaders are all traitors!#DemocratsKill #SocialismSucks #EndDACA #EndChainMigration #DemocratsLie"
50,0.0,1.0,0.806552,#BUILDthatWALL #MAGA #KAG#Trump: I could use #MILITARY to build my #WALL if Congress plays tough via @user
51,1.0,0.0,0.038522888,You hit the hoe she lay there  I hit the bitch she fuck back  And boy  She is noisy  I can't shut her up  And boy she annoys me
53,1.0,0.0,0.087858684,"@user He is 100% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall. #BuildTheWall #DeportThemAll #StopTheInvasion #AmericaFirst"
54,1.0,0.0,0.041753482,"#Bulgaria doing it the way it should be done. #illegalaliens try to enter, #IllegalAliens are put in a #pinebox"
55,0.0,1.0,0.95999336,Complicit?! Complacent?!@ABC @user @user @user @user @user @user @user #FakeNews #FakeJournalists#BuildThatWall #DeportThemAll#NeverVoteDemocratAgain
