Index,True_Label,Predicted_Label,Probability,Text
7,1.0,0.0,0.0027976204,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468
"
57,1.0,0.0,2.2801023e-08,"For sale - arsenal dartboard. Good condition but no doubles or trebles!
"
183,1.0,0.0,3.3572178e-08,"This message is brought to you by GMW Ltd. and is not connected to the
"
245,1.0,0.0,1.0332031e-05,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?
"
381,1.0,0.0,1.3371172e-07,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
"
440,1.0,0.0,3.454437e-09,"TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
"
462,1.0,0.0,1.264135e-08,"ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
"
561,1.0,0.0,6.278931e-08,"Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
"
619,1.0,0.0,3.1875295e-08,"Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
"
622,1.0,0.0,0.10895125,"Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
"
694,1.0,0.0,3.3550468e-06,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
"
742,1.0,0.0,0.17070508,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
"
817,1.0,0.0,0.003307857,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
"
832,1.0,0.0,4.077596e-06,"Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
"
953,1.0,0.0,9.591989e-09,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
"
979,1.0,0.0,4.3897347e-07,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.
"
1021,1.0,0.0,1.3000325e-09,"Money i have won wining number 946 wot do i do next
"
