Index,True_Label,Predicted_Label,Probability,Text
2,0.0,1.0,0.50084376,"If you don't respond imma assume you're still asleep and imma start calling n shit
"
7,1.0,0.0,0.48395798,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468
"
10,1.0,0.0,0.49002936,"Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
"
15,0.0,1.0,0.50529134,"I will come with karnan car. Please wait till 6pm will directly goto doctor.
"
18,0.0,1.0,0.5037587,"Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. 
"
22,1.0,0.0,0.49705935,"You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
"
32,0.0,1.0,0.500466,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola
"
36,1.0,0.0,0.4973786,"Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
"
53,0.0,1.0,0.50263005,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear
"
58,0.0,1.0,0.5004161,"HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
"
59,1.0,0.0,0.4913631,"IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
"
67,1.0,0.0,0.4883334,"lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
"
76,1.0,0.0,0.48785532,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
"
83,0.0,1.0,0.5003377,"I'm job profile seems like bpo..
"
89,1.0,0.0,0.48078528,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
"
90,1.0,0.0,0.4802231,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE
"
109,1.0,0.0,0.48675188,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm
"
110,1.0,0.0,0.4930171,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
"
115,0.0,1.0,0.51097894,"The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
"
136,1.0,0.0,0.48785952,"Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
"
140,0.0,1.0,0.5046478,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...
"
142,0.0,1.0,0.501861,"New car and house for my parents.:)i have only new job in hand:)
"
143,0.0,1.0,0.5027056,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.
"
155,0.0,1.0,0.5036593,"S:-)kallis wont play in first two odi:-)
"
163,0.0,1.0,0.5031394,"You are right. Meanwhile how's project twins comin up
"
164,1.0,0.0,0.49553752,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
"
180,1.0,0.0,0.491379,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.
"
183,1.0,0.0,0.4882548,"This message is brought to you by GMW Ltd. and is not connected to the
"
184,0.0,1.0,0.50412786,"It's justbeen overa week since we broke up and already our brains are going to mush!
"
187,0.0,1.0,0.5010646,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8
"
199,1.0,0.0,0.49286434,"Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
"
200,1.0,0.0,0.49028203,"Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
"
202,0.0,1.0,0.5078708,"Sure thing big man. i have hockey elections at 6, shouldn‘t go on longer than an hour though
"
208,1.0,0.0,0.4852014,"Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ “
"
209,0.0,1.0,0.50038517,"I'm still looking for a car to buy. And have not gone 4the driving test yet.
"
223,1.0,0.0,0.4879215,"Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
"
234,1.0,0.0,0.4831772,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622
"
