Index,True_Label,Predicted_Label,Probability,Text
2,0.0,1.0,0.5004426,@user And they are dead wrong. Migrant workers are eligible to come here on visas that allow them to work to do those jobs.#IllegalAliens need not apply
5,0.0,1.0,0.50703263,"Why does NFL commissioner Goodell, whose spineless lack of leadership is costing NFL billions of dollars a year, still have a job?RETWEET to show your disgust; he must be fired.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #FoxNews"
6,1.0,0.0,0.49532825,Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?
8,0.0,1.0,0.5042059,@user happy birthday bitch! Hope you have a fab day you hoe n get on lifts soon 🚗
13,1.0,0.0,0.4958336,Bitch feed me grapes and stfu
15,0.0,1.0,0.5013617,"How old is Asshole Eggsalad, like 20?    7 months, bitch    #BabyDriver"
16,1.0,0.0,0.49416935,lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
18,1.0,0.0,0.4811817,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
19,1.0,0.0,0.49592364,I've never watched a single episode of Game of thrones   Good for you bitch you must be a broke hoe can't afford hbo
20,0.0,1.0,0.5105906,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that.
22,0.0,1.0,0.5040021,@user #MAGA #KAG 2020 USA!! USA!! USA!! USA!! #BUILDKATESWALL #NODACA #AmericaFirst Please remember the only reason the left the libtards the Democrats are so triggered and resistant is because their criminal murderous candidate didn't win that's it that's the only reason!!!
23,0.0,1.0,0.5121723,@user @user YES. IT WAS OBAMA. WE CAN WITNESS #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA
24,0.0,1.0,0.5101061,@user hey white trash go fuck your self dumb shit hoe bitch disgusting hoe
29,0.0,1.0,0.5116296,@user #Immigration will decide the fate of our nation. #StopTheInvasion
32,0.0,1.0,0.5081218,"Whoa. Wake the eff up, Western Society. #wakeup #stoptheinvasion"
33,0.0,1.0,0.5109639,@user I can't believe we live in times where butt hurt cunts looking for apologies are given a platform.  Life's not fair bitch
34,1.0,0.0,0.49727622,"START VETTING THE #ILLEGALALIENS THEY TRANSMIT THESE PARASITES INTO OUR COUNTRY USA. PAGUES. PANDORAS BOX. SOUTHERN BORDER. SHIPS. AND AIRPLANES!! THESE PARASITES ARE ON OUR PUBLIC BEACHES, PARKS, STREETSM TREES, ROADS, GRASSES STORES, LIBRARIES, HOTELS, HOSPITALS, SCHOOLS ETC!!"
36,1.0,0.0,0.49997628,warning to all you dumb bitches: i don't do no dumb bitch/hoe shit. 👋
37,0.0,1.0,0.5100588,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
39,0.0,1.0,0.5138654,#WalkAway #TuesdayThoughts #BuildThatWall SUPPORT @user
40,0.0,1.0,0.5059294,Been listening to LP th whole shift. Life is a bitch. But we must continue the fight. RIP
41,0.0,1.0,0.51293284,I'm a hoe ass bitch - @user
46,1.0,0.0,0.4939525,"Suddenly this hoe is cb shipper, bitch get out, more than once you insulted the cb shippers slkfksdn"
48,0.0,1.0,0.50408417,I hope they give Orenthal another 9 1/2 years and let him rot and die in that hell hole. Karma is a bitch and so is OJ. #feedOJ
49,0.0,1.0,0.5001446,"You dont have to be an idiot to figure it out that Democrats are destroying America.Obama, Hillary and the democratic leaders are all traitors!#DemocratsKill #SocialismSucks #EndDACA #EndChainMigration #DemocratsLie"
50,0.0,1.0,0.50627583,#BUILDthatWALL #MAGA #KAG#Trump: I could use #MILITARY to build my #WALL if Congress plays tough via @user
51,1.0,0.0,0.49653363,You hit the hoe she lay there  I hit the bitch she fuck back  And boy  She is noisy  I can't shut her up  And boy she annoys me
54,1.0,0.0,0.4990219,"#Bulgaria doing it the way it should be done. #illegalaliens try to enter, #IllegalAliens are put in a #pinebox"
55,0.0,1.0,0.5070292,Complicit?! Complacent?!@ABC @user @user @user @user @user @user @user #FakeNews #FakeJournalists#BuildThatWall #DeportThemAll#NeverVoteDemocratAgain
57,0.0,1.0,0.5111176,Just in case the RNC sees this. I'm really disappointed in you guys! I can't believe our POTUS is having ANY difficulty getting his policies enacted & funded. I WILL NOT DONATE ANY MORE MONEY TO RNC.Only to individuals #MAGA #RedWaveRising2018 #RNC #Republican #BuildThatWall
58,0.0,1.0,0.51157135,"The Awakening has begun.#Immigrants#Toronto#TorontoShooting#IllegalAliens@infowars@PrisonPlanet@rebelmeFists fly, and so does a megaphone, as refugee crisis inflames politics in Toronto area"
63,0.0,1.0,0.51017123,@user @user @user Hate to see anyone suffer but McCain is a warmonger son of a bitch tha…
66,0.0,1.0,0.5046346,@user BITCH I LOVE YOU WITH MY WHOLE HEART UR MY FAVE PERSON EVER THANK U ❤️
70,0.0,1.0,0.5147934,"@user YUP!!If you said nothing while Obama caged kids, you have no room to complain now. Maybe you should focus your ire on the criminals creating the problem instead of the LEOs enforcing the law.#BuildThatWall"
71,0.0,1.0,0.51180965,TWITTER SUSPENDS BENGHAZI HERO After Criticism of President Obama! #WWG1WGA #BiasedMedia #MockingbirdMedia #FakeNews #BenghaziNeverForget #Elections2018 #MAGA #AmericaFirst #BuildTheWALL #ThesePeopleAreEVIL #NoDACA #NoDEMS #GreatAwakening #HRCevil
73,0.0,1.0,0.50944644,@user @user @user @user @user @user #BuildTheWallNow @user @user BEFORE the Midterm elections #BuildTheDamnWall #EndChainMigration #MandateEverify #NoAmnesty #KeepPheonixPromise National Security
75,0.0,1.0,0.5158877,This is worth a read! @user @user #LiberalismIsAMentalDisorder #VoteRepublican2018 #VoteDemsOut #VoteRed #TrumpDerangementSyndrome #Trump2020 #MAGA2018 #MAGA2018 #BuildThatWall
78,1.0,0.0,0.48950157,Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
82,1.0,0.0,0.49326542,"bitches be expecting you to stay around while they hoe , bitch u crazy"
83,0.0,1.0,0.5143147,"@user Seriously, PM me, we patriots can to this. I've got the time and willingness to do it. #BuildThatWall"
85,1.0,0.0,0.49262583,I know I must make a lot of you hoes sick; All I can tell you is get use to it bitch 😘
87,0.0,1.0,0.51027113,"@user Fuck your bitch ass. Soft ass muhfugga. LBJ going to LAL next year anyway, hoe."
88,0.0,1.0,0.500768,@user Listen to @user as she insists that legal and illegal immigrants are taking jobs and resources from #NativeAmerican s. #StopImmigration of #white Europeans! They are destroying America with guns and diseases.
92,0.0,1.0,0.5178756,"@user Uh, well- Too Bad. #IllegalAliens #ImaginaryRules #Snowflake #Snowjob #BuildKatesWall"
93,0.0,1.0,0.5058479,Lots of Proud Veterans would lend a hand as well! #BuildThatWall
95,1.0,0.0,0.48667327,You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.
97,0.0,1.0,0.50354904,President Obama Ldt MS-13 into the U.S so they could attend U.S Schools are Your kids Safe? Not With #Democrats #MAGA #SendthemBack #BarackObama
98,0.0,1.0,0.51808643,@user look at you.. all of a sudden.... bitch I'm about to burn your fucking jersey hoe. 😂
99,0.0,1.0,0.51331735,Minnesota ! Meet conservative Dave Hughes running for congress in November! Please come out & vote for him & help work for true conservative change! Tax CutsStop funding for sanctuary cities! Endorsed by @user Improvement in farming #BuildThatWall #RedNovember
100,1.0,0.0,0.4969426,"@user @user 1) #BuildTheWall, 2) #SecureOurBorders, 3) #EndTheVisaLottery, 4) #EndSanctuaryCities, 5) #EndChainMigration, 6) E-Verify, 7) Reform Asylum Laws, 8) #DeportAllIllegals, 9) #NoAmnesty, & 10) #NoDACA"
101,0.0,1.0,0.5015543,#StopTheInvasion! @user Use our Defense Budget NOW 2 Defend America! Don't wait on Mitch & Paul! #FridayFeeIing
102,0.0,1.0,0.512109,@user @user #BuildThatWall already
103,0.0,1.0,0.50741225,"@user @user is right, #DoWhatWeSaid! #BuildThatWall"
105,0.0,1.0,0.5004746,Kirk Douglas raped Natalie wood and this son of bitch get to live 100 while natalie wood is dead
107,0.0,1.0,0.5082389,"@user Perhaps, Cali will surprise everyone very soon. #BUILDTHATWALL and #Immigration are the #1 issues On Americans Minds Today??"
108,0.0,1.0,0.50380987,@user Meanwhile the whole world is hoping that Piers Morgan will regenerate into someone that isn't a cunt.
109,0.0,1.0,0.513992,@user The left can no longer be trusted. #LiberalismIsAMentalDisorder #GodBlessICE #MAGA #AmericaFirst #SendThemBack #BuildTheWall #DrainTheSwamp #walkaway @user
111,1.0,0.0,0.49614412,Yall gone stop gasing these hoes up .idgaf if yo ass fat . Bitch you black Asf and disgusting.
113,0.0,1.0,0.5132997,@user @user I'm beginning to think Ann's right on this one too. Just focus on THE WALL. #BuildThatWall
115,0.0,1.0,0.5012171,walk a mile in my shoes bitch i cant even walk a mile in my own
116,0.0,1.0,0.50989497,I'm the nicest fucking person but if you come at me calling me a slut and such for having an opinion I will be a bitch to you. Not sorry.
118,0.0,1.0,0.50286216,"@user as I recall, wasn't one of Hillary's whoppers that Chelsea was nearby the WTC when it was hit; & she had to run for her life?#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #LiberalismIsAMentalDisorder"
119,1.0,0.0,0.49789608,"To all the bitch ass hoes that hate me the most, oh yeah I hate you too"
120,0.0,1.0,0.50369126,Return the children to pedophiles and human trafficking in most cases OR don't cross border and mommies won't have that issue! #BuildThatWall
121,0.0,1.0,0.50351226,"""Trump On Possible Government Shutdown: """"If It Happens, It Happens"""" | Zero Hedge #ShutItDown @user Your base supports your decision & want the government to #Shutdown or #BuildThatWall !"""
122,0.0,1.0,0.5027158,This is NancyNancy called my pay raise #Crumbs.Nancy doesn't want to fund the #MILITARY.Nancy puts #IllegalAliens rights before citizen rights.Nancy wants to house the illegals before our homeless #veterans Don't be a Nancy.@Maga4Justice #Trump#WednesdayWisdom #MAGA
123,0.0,1.0,0.50649285,@user Im a Texan but Im rooting for to win. Saw you @user this morning and was very impressed with your credentials and your service to our great country! Wish I could cast a vote for you. Best of luck! #MAGA #KAGA #BuildThatWall
124,0.0,1.0,0.50908494,"""In the end, according to United States LAW, 8 U.S. Code 1325 - Improper entry by alienthey ARE considered """"illegal aliens"""". YOU don't get to change our laws or vernacular because it hurts YOUR feelings. You don't know @user"
127,0.0,1.0,0.51871717,@user It shows that the #DysfunctionalPartyDuopoly is not now nor ever has been predisposed to implement an effective program to #StopTheInvasion. #repX #invasionUSA @user #SealTheBorder
128,1.0,0.0,0.49559385,"@user @user @user #NoDACA #MAGA #howdoyoulikeusnowMale illegal aliens dont have the honor to sign up for selective services which is obligatory by law for all male citizens. No signature, NO JOB! Women citizens and illegals dont have the honor. Yep, I see EQUALITY happening all over this place."
129,0.0,1.0,0.51148635,"So now the free-speech, Conservative hating Twitter is banning the use of the term #IllegalAliens. Lets make it trend!"
130,0.0,1.0,0.50232476,@user #EndDACA Only AMERICANS should vote for elected officials!!! Not dead or illegal people. But then how would you get any votes! #ENDDEMOCRATS
131,0.0,1.0,0.50554836,"Bitch you ain't gotta call my phone, matter fact all you hoes can leave me alone!! 💯"
132,1.0,0.0,0.49798104,Bitch idc when Ima see you hoe!!!
134,1.0,0.0,0.49947536,"@user @user @user @user @user @user We must put an end to #IllegalsRCriminals #IllegalAliens Pelosi #CNN Interview ignored a mother of a slain boy who was beaten, tortured & burned alive by ILLEGAL CRIMINAL The woman asked Pelosi Which one of YOUR grandchildren or daughters/sons r expendable? She was ignored"
136,0.0,1.0,0.5098781,"Message Sent, Sleep Cells Activated, The Plan Is Now Active - Episode 1659b #WWG1WGA #AmericaFirst #ThesePeopleAreEVIL #BuildTheWALL #NoDACA #GreatAwakening #PedoGate #PizzaGateIsREAL #MKUltra #CorruptCIA #ObamaGate #ThesePeopleAreSick #SRA #QAlert"
137,0.0,1.0,0.5153434,@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall
139,0.0,1.0,0.51026267,When is enough. When is congress going to get rid of this asshole Trump. This son of a bitch is bad news
140,1.0,0.0,0.49494517,If a bitch fuck another nigga and you take her back shes making you vulnerable to getting clowned by another that hoe isnt on your team.
141,1.0,0.0,0.49248782,"This white lady just told me I was ""too young"" and ""a baby"" BITCH I'm married with 1.5 kids, paying my own goddamn bills, 🗣 lee me alone hoe"
142,1.0,0.0,0.49591514,"that hoe already know i don't like her fat neck ass then she got the nerve to cut my ass off! bitch park your car, let's fight 😒"
