Index,True_Label,Predicted_Label,Probability,Text
2,0.0,1.0,0.59413517,@user And they are dead wrong. Migrant workers are eligible to come here on visas that allow them to work to do those jobs.#IllegalAliens need not apply
5,0.0,1.0,0.99572384,"Why does NFL commissioner Goodell, whose spineless lack of leadership is costing NFL billions of dollars a year, still have a job?RETWEET to show your disgust; he must be fired.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #FoxNews"
8,0.0,1.0,0.99200785,@user happy birthday bitch! Hope you have a fab day you hoe n get on lifts soon 🚗
9,1.0,0.0,0.48697546,All they need is TLC thats BS #SENDTHEMHOME
15,0.0,1.0,0.886077,"How old is Asshole Eggsalad, like 20?    7 months, bitch    #BabyDriver"
18,1.0,0.0,0.39757898,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
20,0.0,1.0,0.9956546,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that.
22,0.0,1.0,0.99581665,@user #MAGA #KAG 2020 USA!! USA!! USA!! USA!! #BUILDKATESWALL #NODACA #AmericaFirst Please remember the only reason the left the libtards the Democrats are so triggered and resistant is because their criminal murderous candidate didn't win that's it that's the only reason!!!
23,0.0,1.0,0.9956371,@user @user YES. IT WAS OBAMA. WE CAN WITNESS #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA
24,0.0,1.0,0.99407333,@user hey white trash go fuck your self dumb shit hoe bitch disgusting hoe
25,0.0,1.0,0.9811748,@user They're like omg how do you not remember her shoes. Like bitch NO YOU THE WEIRD ONE I'm looking at be…
28,1.0,0.0,0.044656817,#Muslim #Islam Terrorist Did This #NeverForget #NeverForget911 #RefugeesNotWelcome
29,0.0,1.0,0.9891332,@user #Immigration will decide the fate of our nation. #StopTheInvasion
30,0.0,1.0,0.96721494,Then u ask urself who da F** s going liberate Africa frm da greedy bastards wen strong young men choose da easy way out 2become a burden on anada government..then later wen da people hav liberated themselves Dey will b returning as Elites claiming victory..Nxaa..#SendThemBack
33,0.0,1.0,0.6968894,@user I can't believe we live in times where butt hurt cunts looking for apologies are given a platform.  Life's not fair bitch
37,0.0,1.0,0.9959013,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
39,0.0,1.0,0.9958055,#WalkAway #TuesdayThoughts #BuildThatWall SUPPORT @user
41,0.0,1.0,0.9737742,I'm a hoe ass bitch - @user
