Index,True_Label,Predicted_Label,Probability,Text
0,1.0,0.0,0.35443327,#ILLEGALimmigrants Don't be #Europe:
1,1.0,0.0,0.39226547,"I crack up when whores say ""I have 15k followers I can't respond 2 every1"". Bitch @user closing in on 100…"
6,1.0,0.0,0.20640299,Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?
8,0.0,1.0,0.52354974,@user happy birthday bitch! Hope you have a fab day you hoe n get on lifts soon 🚗
9,1.0,0.0,0.09791028,All they need is TLC thats BS #SENDTHEMHOME
16,1.0,0.0,0.2586927,lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
18,1.0,0.0,0.04072757,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
20,0.0,1.0,0.8195857,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that.
22,0.0,1.0,0.7242424,@user #MAGA #KAG 2020 USA!! USA!! USA!! USA!! #BUILDKATESWALL #NODACA #AmericaFirst Please remember the only reason the left the libtards the Democrats are so triggered and resistant is because their criminal murderous candidate didn't win that's it that's the only reason!!!
24,0.0,1.0,0.72486323,@user hey white trash go fuck your self dumb shit hoe bitch disgusting hoe
25,0.0,1.0,0.5822904,@user They're like omg how do you not remember her shoes. Like bitch NO YOU THE WEIRD ONE I'm looking at be…
28,1.0,0.0,0.06697461,#Muslim #Islam Terrorist Did This #NeverForget #NeverForget911 #RefugeesNotWelcome
31,1.0,0.0,0.35245755,"@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type. #StopIslam #BanSharia"
34,1.0,0.0,0.4165157,"START VETTING THE #ILLEGALALIENS THEY TRANSMIT THESE PARASITES INTO OUR COUNTRY USA. PAGUES. PANDORAS BOX. SOUTHERN BORDER. SHIPS. AND AIRPLANES!! THESE PARASITES ARE ON OUR PUBLIC BEACHES, PARKS, STREETSM TREES, ROADS, GRASSES STORES, LIBRARIES, HOTELS, HOSPITALS, SCHOOLS ETC!!"
37,0.0,1.0,0.9335249,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
38,1.0,0.0,0.22901183,Study: Nearly half of White working-class Americans say that they feel like strangers in our own country: #IllegalImmigration #VisaOverstays #WhiteGenocide #jobs #work #U3 #U6 #AmericaFirst #WhitePeople #HartCellerAct
39,0.0,1.0,0.923777,#WalkAway #TuesdayThoughts #BuildThatWall SUPPORT @user
49,0.0,1.0,0.76238585,"You dont have to be an idiot to figure it out that Democrats are destroying America.Obama, Hillary and the democratic leaders are all traitors!#DemocratsKill #SocialismSucks #EndDACA #EndChainMigration #DemocratsLie"
50,0.0,1.0,0.8837973,#BUILDthatWALL #MAGA #KAG#Trump: I could use #MILITARY to build my #WALL if Congress plays tough via @user
51,1.0,0.0,0.29583555,You hit the hoe she lay there  I hit the bitch she fuck back  And boy  She is noisy  I can't shut her up  And boy she annoys me
52,0.0,1.0,0.5402446,Karmas a bitch hoe & on my momma you gon get yours.
54,1.0,0.0,0.080315776,"#Bulgaria doing it the way it should be done. #illegalaliens try to enter, #IllegalAliens are put in a #pinebox"
55,0.0,1.0,0.92456716,Complicit?! Complacent?!@ABC @user @user @user @user @user @user @user #FakeNews #FakeJournalists#BuildThatWall #DeportThemAll#NeverVoteDemocratAgain
56,1.0,0.0,0.13494444,@user #SendThemHome we do not need those #Students here in #Canada
59,0.0,1.0,0.6544315,#BuildThatWall Put Money Where Your Mouth Is Sir. They Pour In.
61,1.0,0.0,0.49414438,Watch this #Swedish journalist #IngridCarlqvist: Ethnic #Swedes will become minority in 2 to 3 decades Let this be a warning to #Germany and the rest of #Europe Stop this madness #RefugeesNotWelcome #SwedenElection #SwedenDemocrats #AfD #RT
68,1.0,0.0,0.38865888,@user Bitch I'm sick 😒 dirty whore
69,0.0,1.0,0.6463958,"Money isn't everything , But everything needs Money...    Sike money everywhere bitch fuck all you haters, hoes and fake ass ""friends""."
70,0.0,1.0,0.9119538,"@user YUP!!If you said nothing while Obama caged kids, you have no room to complain now. Maybe you should focus your ire on the criminals creating the problem instead of the LEOs enforcing the law.#BuildThatWall"
72,1.0,0.0,0.45871443,@user @user My fiancee is in Italy right now visiting family. She told me that she feels heartbroken and very uncomfortable because of the immigrants. They stare at all the women there like they want to hurt them and they Italian military is everywhere. #sendthemback
73,0.0,1.0,0.79791105,@user @user @user @user @user @user #BuildTheWallNow @user @user BEFORE the Midterm elections #BuildTheDamnWall #EndChainMigration #MandateEverify #NoAmnesty #KeepPheonixPromise National Security
75,0.0,1.0,0.9206374,This is worth a read! @user @user #LiberalismIsAMentalDisorder #VoteRepublican2018 #VoteDemsOut #VoteRed #TrumpDerangementSyndrome #Trump2020 #MAGA2018 #MAGA2018 #BuildThatWall
77,1.0,0.0,0.43376023,We let these #migrants in to our country for a better life but what's about our lives and our children's future. That do not want to live by our laws. These #Muslims do not respect our way of life. #SENDTHEMBACK
78,1.0,0.0,0.029590284,Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
83,0.0,1.0,0.825088,"@user Seriously, PM me, we patriots can to this. I've got the time and willingness to do it. #BuildThatWall"
93,0.0,1.0,0.8341049,Lots of Proud Veterans would lend a hand as well! #BuildThatWall
95,1.0,0.0,0.10459491,You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.
98,0.0,1.0,0.8501182,@user look at you.. all of a sudden.... bitch I'm about to burn your fucking jersey hoe. 😂
99,0.0,1.0,0.9022756,Minnesota ! Meet conservative Dave Hughes running for congress in November! Please come out & vote for him & help work for true conservative change! Tax CutsStop funding for sanctuary cities! Endorsed by @user Improvement in farming #BuildThatWall #RedNovember
100,1.0,0.0,0.12934527,"@user @user 1) #BuildTheWall, 2) #SecureOurBorders, 3) #EndTheVisaLottery, 4) #EndSanctuaryCities, 5) #EndChainMigration, 6) E-Verify, 7) Reform Asylum Laws, 8) #DeportAllIllegals, 9) #NoAmnesty, & 10) #NoDACA"
102,0.0,1.0,0.87560695,@user @user #BuildThatWall already
103,0.0,1.0,0.848987,"@user @user is right, #DoWhatWeSaid! #BuildThatWall"
106,1.0,0.0,0.46636173,"3) ""you okay?"" ""Fuck you you fat bitch."" ""Fuck you too whore"""
107,0.0,1.0,0.8775451,"@user Perhaps, Cali will surprise everyone very soon. #BUILDTHATWALL and #Immigration are the #1 issues On Americans Minds Today??"
109,0.0,1.0,0.5193833,@user The left can no longer be trusted. #LiberalismIsAMentalDisorder #GodBlessICE #MAGA #AmericaFirst #SendThemBack #BuildTheWall #DrainTheSwamp #walkaway @user
110,0.0,1.0,0.6418896,"If I don't greet you by saying ""hey hoe"" or ""hey bitch"" chances are I don't like you"
111,1.0,0.0,0.43594086,Yall gone stop gasing these hoes up .idgaf if yo ass fat . Bitch you black Asf and disgusting.
112,1.0,0.0,0.11724616,I am horrified to share #genes with the #humans who put this #law in place. This is a direct result of #CulturalReplacement by #IslamicCaliphate #ForeignInvaders posing as #EconoMigrants and the #EU leaders are complicit. #FightBack #GetThemOut #SendThemBack
113,0.0,1.0,0.905992,@user @user I'm beginning to think Ann's right on this one too. Just focus on THE WALL. #BuildThatWall
115,0.0,1.0,0.5927685,walk a mile in my shoes bitch i cant even walk a mile in my own
118,0.0,1.0,0.5832797,"@user as I recall, wasn't one of Hillary's whoppers that Chelsea was nearby the WTC when it was hit; & she had to run for her life?#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #LiberalismIsAMentalDisorder"
120,0.0,1.0,0.91937345,Return the children to pedophiles and human trafficking in most cases OR don't cross border and mommies won't have that issue! #BuildThatWall
121,0.0,1.0,0.9216256,"""Trump On Possible Government Shutdown: """"If It Happens, It Happens"""" | Zero Hedge #ShutItDown @user Your base supports your decision & want the government to #Shutdown or #BuildThatWall !"""
122,0.0,1.0,0.7575799,This is NancyNancy called my pay raise #Crumbs.Nancy doesn't want to fund the #MILITARY.Nancy puts #IllegalAliens rights before citizen rights.Nancy wants to house the illegals before our homeless #veterans Don't be a Nancy.@Maga4Justice #Trump#WednesdayWisdom #MAGA
